市公司,县公司,变电站,线路名称,可开放容量(kWh)
国网武汉供电公司,国网武汉市东湖新技术开发区供电公司,华科变电站,10kV科67科瑞一回,195.385
国网武汉供电公司,国网东西湖区供电公司,五环变电站,10kV五环73海景线,199.287
国网武汉供电公司,国网武汉市东湖新技术开发区供电公司,旭日变电站,20kV旭804旭九线,202.359
国网武汉供电公司,国网东西湖区供电公司,祁家山变电站,10kV祁708华逸二回线,205.3
国网武汉供电公司,国网武汉市青山供电中心,大洲变电站,10kV洲54钢医二回,206.674
国网武汉供电公司,国网武汉市汉阳供电中心,桥机变电站,10kV桥516桥前进线,209.633
国网武汉供电公司,国网黄陂区供电公司,盘龙变电站,10kV盘59丰山线,212.382
国网武汉供电公司,国网黄陂区供电公司,盘龙变电站,10kV盘72邹湾线,215.483
国网武汉供电公司,国网武汉市经开区（汉南区）供电公司,纱帽变电站,10kV纱55机械线,215.857
国网武汉供电公司,国网武汉市江岸供电中心,公安街变电站,10kV公56公益线,221.342
国网武汉供电公司,国网东西湖区供电公司,祁家山变电站,10kV祁605帝景二回线,221.512
国网武汉供电公司,国网武汉市经开区（汉南区）供电公司,马影河变电站,10kV影508紫阳一回线,224.899
国网武汉供电公司,国网江夏区供电公司,龚家铺变电站,10kV龚铺611龚农线,229.024
国网武汉供电公司,国网武汉市青山供电中心,白玉山变电站,10kV白67向家尾线,231.052
国网武汉供电公司,国网武汉市武昌供电中心,洪山变电站,10kV洪512洪百线,231.22
国网武汉供电公司,国网武汉市汉阳供电中心,英武洲变电站,10kV英66英公馆线,234.444
国网武汉供电公司,国网武汉市东湖新技术开发区供电公司,流芳园变电站,10kV流609流能线,237.209
国网武汉供电公司,国网武汉市江岸供电中心,黄浦路变电站,10kV浦510二七线,238.685
国网武汉供电公司,国网武汉市江岸供电中心,沈阳路变电站,10kV沈77沈江线,237.822
国网武汉供电公司,国网武汉市武昌供电中心,答王庙变电站,10kV答73黄鹂线,240.691
国网武汉供电公司,国网武汉市江岸供电中心,姑嫂树变电站,10kV姑610汉花三回线,246.142
国网武汉供电公司,国网武汉市长江新区供电公司,周铺变电站,10kV周61毕铺线,244.718
国网武汉供电公司,国网黄陂区供电公司,杨柳湾变电站,10kV杨柳503崇杰线,245.933
国网武汉供电公司,国网武汉市东湖新技术开发区供电公司,光华变电站,10kV华520华山一回,246.754
国网武汉供电公司,国网武汉市江岸供电中心,公安街变电站,10kV公63友益线,252.659
国网武汉供电公司,国网东西湖区供电公司,海口变电站,10kV海68怡雅线,251.771
国网武汉供电公司,国网武汉市洪山供电中心,石咀变电站,10kV石609石菱线,252.463
国网武汉供电公司,国网武汉市武昌供电中心,茶港变电站,10kV茶81茶震线,253.079
国网武汉供电公司,国网蔡甸区供电公司,新农变电站,10kV农61金碧一回线,254.834
国网武汉供电公司,国网蔡甸区供电公司,蔡甸变电站,10kV蔡63蔡镇线,257.534
国网武汉供电公司,国网武汉市武昌供电中心,晒湖变电站,10kV晒57晒梦二回,259.681
国网武汉供电公司,国网武汉市青山供电中心,白玉山变电站,10kV白58玉东线,258.135
国网武汉供电公司,国网武汉市武昌供电中心,鲇鱼套变电站,10kV鲇714鲇电线,260.493
国网武汉供电公司,国网武汉市洪山供电中心,南湖变电站,10kV南78青菱线,263.686
国网武汉供电公司,国网武汉市经开区（汉南区）供电公司,三角湖变电站,10kV角708角俊线,276.275
国网武汉供电公司,国网武汉市长江新区供电公司,高车变电站,10kV车512大潭线,273.781
国网武汉供电公司,国网武汉市武昌供电中心,桃子山变电站,10kV桃66水果湖线,278.624
国网武汉供电公司,国网武汉市东湖新技术开发区供电公司,未来城变电站,10kV未405未核二回,280.691
国网武汉供电公司,国网武汉市青山供电中心,桂家湾变电站,10kV桂39桂华线,285.901
国网武汉供电公司,国网武汉市汉口供电中心,唐家墩变电站,10kV唐65唐西线,285.861
国网武汉供电公司,国网蔡甸区供电公司,蔡甸变电站,10kV蔡62长江二回线,286.389
国网武汉供电公司,国网武汉市汉口供电中心,营房村变电站,10kV营74发展线,290.475
国网武汉供电公司,国网武汉市洪山供电中心,卓刀泉变电站,10kV卓62卓西线,291.334
国网武汉供电公司,国网黄陂区供电公司,油岗变电站,10kV油71韵城线,294.142
国网武汉供电公司,国网武汉市东湖新技术开发区供电公司,步行街变电站,10kV街92街保利二回,297.618
国网武汉供电公司,国网武汉市江岸供电中心,德胜堂变电站,10kV德34德蔡线,296.945
国网武汉供电公司,国网武汉市江岸供电中心,球场路变电站,10kV球614球粮线,300.99
国网武汉供电公司,国网蔡甸区供电公司,土山变电站,10kV土70安在线,306.874
国网武汉供电公司,国网武汉市经开区（汉南区）供电公司,陶家岭变电站,10kV陶804陶空线,306.845
国网武汉供电公司,国网黄陂区供电公司,横店变电站,10kV横60油站二回,307.089
国网武汉供电公司,国网武汉市经开区（汉南区）供电公司,车城北变电站,10kV车城606车广线,311.538
国网武汉供电公司,国网武汉市汉阳供电中心,黄金口变电站,10kV口85口金砖线,314.268
国网武汉供电公司,国网武汉市东湖新技术开发区供电公司,未来城变电站,10kV未702未新线,312.728
国网武汉供电公司,国网武汉市武昌供电中心,晒湖变电站,10kV晒58晒梅线,317.886
国网武汉供电公司,国网江夏区供电公司,夜泊山变电站,10kV夜609夜家线,321.597
国网武汉供电公司,国网江夏区供电公司,山坡变电站,10kV山55六合线,325.118
国网武汉供电公司,国网武汉市东湖新技术开发区供电公司,锦绣变电站,10kV锦511锦科院线,323.273
国网武汉供电公司,国网武汉市经开区（汉南区）供电公司,纱帽变电站,10kV纱59薇湖线,325.952
国网武汉供电公司,国网武汉市青山供电中心,沿河变电站,10kV沿57沿砖线,332.568
国网武汉供电公司,国网东西湖区供电公司,荷包湖变电站,10kV荷93辛安渡线,331.566
国网武汉供电公司,国网武汉市汉阳供电中心,铁桥村变电站,10kV铁609铁台线,333.295
国网武汉供电公司,国网武汉市洪山供电中心,楚平路变电站,10kV楚903楚平线,338.003
国网武汉供电公司,国网武汉市洪山供电中心,南湖变电站,10kV南83科大线,341.891
国网武汉供电公司,国网武汉市洪山供电中心,鲁巷变电站,10kV鲁59荣军线,338.504
国网武汉供电公司,国网蔡甸区供电公司,奓山变电站,10kV奓517康湾线,339.142
国网武汉供电公司,国网武汉市汉阳供电中心,汤山变电站,10kV汤71汤龙线,338.112
国网武汉供电公司,国网黄陂区供电公司,府河变电站,10kV府605滠工一回,342.598
国网武汉供电公司,国网东西湖区供电公司,祁家山变电站,10kV祁511吴中线,347.079
国网武汉供电公司,国网武汉市长江新区供电公司,高潮变电站,10kV高619镇东线,347.324
国网武汉供电公司,国网武汉市汉口供电中心,汉轧变电站,10kV轧67轧广线,348.477
国网武汉供电公司,国网武汉市汉口供电中心,宗关变电站,10kV宗515桥航线,350.96
国网武汉供电公司,国网武汉市东湖新技术开发区供电公司,白羊村变电站,10kV羊606羊城线,352.365
国网武汉供电公司,国网东西湖区供电公司,走马岭变电站,10kV走64走园二回线,355.904
国网武汉供电公司,国网武汉市武昌供电中心,桃子山变电站,10kV桃63桃研线,355.821
国网武汉供电公司,国网武汉市青山供电中心,建五路变电站,10kV建615阳光线,359.22
国网武汉供电公司,国网武汉市武昌供电中心,积玉桥变电站,10kV积55大堤口线,363.184
国网武汉供电公司,国网新洲区供电公司,挖沟变电站,10kV挖505柳新线,363.347
国网武汉供电公司,国网江夏区供电公司,夜泊山变电站,10kV夜511夜神一回线,372.73
国网武汉供电公司,国网东西湖区供电公司,祁家山变电站,10kV祁509吴中街线,376.311
国网武汉供电公司,国网武汉市江岸供电中心,沈阳路变电站,10kV沈74沈城线,374.66
国网武汉供电公司,国网武汉市汉阳供电中心,汤山变电站,10kV汤36汤华线,378.403
国网武汉供电公司,国网武汉市汉阳供电中心,英武洲变电站,10kV英78英金域线,382.892
国网武汉供电公司,国网新洲区供电公司,汪集变电站,10kV汪63供电线,384.304
国网武汉供电公司,国网武汉市东湖新技术开发区供电公司,庙山变电站,10kV庙62庙商贸线,390.191
国网武汉供电公司,国网武汉市东湖新技术开发区供电公司,未来城变电站,10kV未407未地大二回,386.126
国网武汉供电公司,国网武汉市经开区（汉南区）供电公司,中山湖变电站,10kV中606中湖线,390.223
国网武汉供电公司,国网武汉市青山供电中心,白玉山变电站,10kV白69白挽线,390.301
国网武汉供电公司,国网武汉市洪山供电中心,石咀变电站,10kV石608石航线,394.631
国网武汉供电公司,国网江夏区供电公司,郑店变电站,10kV店60山湖线,395.844
国网武汉供电公司,国网武汉市武昌供电中心,沙湖变电站,10kV沙74军房线,399.108
国网武汉供电公司,国网黄陂区供电公司,横店变电站,10kV横57横水线,403.929
国网武汉供电公司,国网武汉市洪山供电中心,南湖变电站,10kV南61路灯线,404.637
国网武汉供电公司,国网武汉市青山供电中心,北洋桥变电站,10kV北洋805北绿线,409.657
国网武汉供电公司,国网武汉市汉口供电中心,汉轧变电站,10kV轧79东方线,409.095
国网武汉供电公司,国网武汉市汉阳供电中心,博览变电站,10kV博74博绿地线,411.878
国网武汉供电公司,国网武汉市东湖新技术开发区供电公司,华科变电站,10kV科64科恒二回,412.838
国网武汉供电公司,国网武汉市洪山供电中心,洪山变电站,10kV洪705洪悦线,417.801
国网武汉供电公司,国网武汉市青山供电中心,梨园变电站,10kV梨85湖心亭线,423.607
国网武汉供电公司,国网武汉市洪山供电中心,南湖变电站,10kV南93南光霞线,417.515
国网武汉供电公司,国网江夏区供电公司,安山变电站,10kV安54新窑线,421.418
国网武汉供电公司,国网蔡甸区供电公司,土山变电站,10kV土63康湾二回线,425.267
国网武汉供电公司,国网武汉市经开区（汉南区）供电公司,沌口变电站,10kV沌71沌东线,432.405
国网武汉供电公司,国网江夏区供电公司,藏龙岛变电站,10kV藏59梁山新村线,428.537
国网武汉供电公司,国网武汉市长江新区供电公司,万咀变电站,10kV万62华企线,436.03
国网武汉供电公司,国网武汉市汉阳供电中心,琴台变电站,10kV台73台鹏程线,439.69
国网武汉供电公司,国网武汉市武昌供电中心,四美塘变电站,10kV美405美江线,441.432
国网武汉供电公司,国网武汉市武昌供电中心,汉街变电站,10kV汉503汉北线,441.387
国网武汉供电公司,国网黄陂区供电公司,宋岗变电站,10kV宋614学府二回,446.46
国网武汉供电公司,国网武汉市东湖新技术开发区供电公司,东一园变电站,10kV东603东上线,448.614
国网武汉供电公司,国网武汉市汉阳供电中心,黄金口变电站,10kV口89口董都线,447.053
国网武汉供电公司,国网武汉市江岸供电中心,德胜堂变电站,10kV德68德旺线,455.309
国网武汉供电公司,国网蔡甸区供电公司,中法城变电站,10kV法704狮子岭线,453.722
国网武汉供电公司,国网蔡甸区供电公司,知音变电站,10kV知605独山线,454.79
国网武汉供电公司,国网武汉市东湖新技术开发区供电公司,祥云变电站,20kV祥云703祥生一回,454.138
国网武汉供电公司,国网武汉市东湖新技术开发区供电公司,葛店变电站,10kV葛605葛富线,461.244
国网武汉供电公司,国网黄陂区供电公司,李集变电站,10kV李59二中线,462.833
国网武汉供电公司,国网武汉市东湖新技术开发区供电公司,明玉变电站,10kV明玉609明企一回,467.796
国网武汉供电公司,国网武汉市武昌供电中心,汉街变电站,10kV汉608汉南线,462.095
国网武汉供电公司,国网武汉市江岸供电中心,德胜堂变电站,10kV德63德正线,465.183
国网武汉供电公司,国网蔡甸区供电公司,知音变电站,10kV知507万龙线,471.618
国网武汉供电公司,国网黄陂区供电公司,祁家湾变电站,10kV祁55姜送线,470.471
国网武汉供电公司,国网蔡甸区供电公司,何湾变电站,10kV何89何星线,468.778
国网武汉供电公司,国网武汉市汉口供电中心,仁寿路变电站,10kV仁60解北线,471.104
国网武汉供电公司,国网武汉市经开区（汉南区）供电公司,枫树变电站,10kV枫31枫福线,480.138
国网武汉供电公司,国网江夏区供电公司,岳府湾变电站,10kV岳65关山线,482.502
国网武汉供电公司,国网武汉市汉口供电中心,王家墩变电站,10kV王708王国际线,482.708
国网武汉供电公司,国网黄陂区供电公司,环城变电站,10kV环508开达线,484.068
国网武汉供电公司,国网武汉市江岸供电中心,百步亭变电站,10kV步世纪一回步73,490.998
国网武汉供电公司,国网武汉市汉阳供电中心,芳草路变电站,10kV芳513芳墨水线,492.365
国网武汉供电公司,国网武汉市长江新区供电公司,熊家店变电站,10kV熊604熊姚线,492.949
国网武汉供电公司,国网武汉市汉口供电中心,范湖变电站,10kV范506范华一回线,493.846
国网武汉供电公司,国网武汉市江岸供电中心,西马路变电站,10kV西69西侨线,500.447
国网武汉供电公司,国网武汉市洪山供电中心,石咀变电站,10kV石511石阅线,503.659
国网武汉供电公司,国网武汉市洪山供电中心,曹家铺变电站,10kV曹75曹满庭线,500.84
国网武汉供电公司,国网东西湖区供电公司,马池变电站,10kV马69球场一回线,504.127
国网武汉供电公司,国网武汉市武昌供电中心,付家坡变电站,10kV付82付银海线,513.04
国网武汉供电公司,国网蔡甸区供电公司,奓山变电站,10kV奓509九土一回线,511.756
国网武汉供电公司,国网武汉市汉口供电中心,姑嫂树变电站,10kV姑603新双线,518.608
国网武汉供电公司,国网东西湖区供电公司,慈惠变电站,10kV慈55九坤线,522.297
国网武汉供电公司,国网武汉市长江新区供电公司,鄢家湖变电站,10kV鄢70长丰线,517.638
国网武汉供电公司,国网武汉市青山供电中心,建五路变电站,10kV建514建港线,519.043
国网武汉供电公司,国网武汉市东湖新技术开发区供电公司,步行街变电站,10kV街90街福线,519.328
国网武汉供电公司,国网武汉市经开区（汉南区）供电公司,三角湖变电站,10kV角704角江线,520.837
国网武汉供电公司,国网武汉市汉阳供电中心,黄金口变电站,10kV口73口孵化线,523.206
国网武汉供电公司,国网武汉市洪山供电中心,狮子山变电站,10kV狮619狮林屿线,524.203
国网武汉供电公司,国网武汉市东湖新技术开发区供电公司,凌家山变电站,10kV凌89曙光线,524.933
国网武汉供电公司,国网蔡甸区供电公司,何湾变电站,10kV何62何福二回线,527.922
国网武汉供电公司,国网武汉市经开区（汉南区）供电公司,邓南变电站,10kV邓606向新二回,528.451
国网武汉供电公司,国网武汉市洪山供电中心,鲇鱼套变电站,10kV鲇815鲇列电线,534.018
国网武汉供电公司,国网武汉市经开区（汉南区）供电公司,三角湖变电站,10kV角502角投线,536.512
国网武汉供电公司,国网武汉市长江新区供电公司,高车变电站,10kV车511车部线,533.796
国网武汉供电公司,国网武汉市青山供电中心,园林路变电站,10kV园六街线园96,536.666
国网武汉供电公司,国网武汉市长江新区供电公司,柴泊变电站,10kV柴417柴童二回线,534.066
国网武汉供电公司,国网武汉市汉口供电中心,澳门路变电站,10kV澳67荷花线,540.913
国网武汉供电公司,国网东西湖区供电公司,马池变电站,10kV马83马金线,537.914
国网武汉供电公司,国网黄陂区供电公司,盘龙变电站,10kV盘65龙城花苑线,542.637
国网武汉供电公司,国网武汉市东湖新技术开发区供电公司,未来城变电站,10kV未905未新三回,541.406
国网武汉供电公司,国网武汉市青山供电中心,园林路变电站,10kV园五街线园95,542.217
国网武汉供电公司,国网武汉市东湖新技术开发区供电公司,大甘变电站,20kV甘53甘龙线,540.758
国网武汉供电公司,国网武汉市江岸供电中心,福建街变电站,10kV福81福组线,550.315
国网武汉供电公司,国网江夏区供电公司,龚家铺变电站,10kV龚铺610龚月线,550.081
国网武汉供电公司,国网武汉市东湖新技术开发区供电公司,白羊村变电站,10kV羊517羊公二回,550.906
国网武汉供电公司,国网武汉市汉口供电中心,三太里变电站,10kV太80太银一回,562.608
国网武汉供电公司,国网武汉市汉阳供电中心,英武洲变电站,10kV英61英万科线,557.456
国网武汉供电公司,国网武汉市武昌供电中心,梨园变电站,10kV梨73梨村线,561.907
国网武汉供电公司,国网蔡甸区供电公司,蔡甸变电站,10kV蔡58蔡福线,561.549
国网武汉供电公司,国网东西湖区供电公司,翠堤变电站,10kV翠506御品一回线,574.946
国网武汉供电公司,国网江夏区供电公司,巴登城变电站,10kV登77登滨一回,573.657
国网武汉供电公司,国网江夏区供电公司,龚家铺变电站,10kV龚铺608龚豹二回,580.759
国网武汉供电公司,国网武汉市汉阳供电中心,琴台变电站,10kV台80台龙线,582.577
国网武汉供电公司,国网武汉市东湖新技术开发区供电公司,生物园变电站,20kV物413物明线,582.667
国网武汉供电公司,国网东西湖区供电公司,祁家山变电站,10kV祁705天合二回线,585.309
国网武汉供电公司,国网黄陂区供电公司,祁家湾变电站,10kV祁57王岗线,587.426
国网武汉供电公司,国网武汉市青山供电中心,沿河变电站,10kV沿59沿镇线,593.38
国网武汉供电公司,国网武汉市汉口供电中心,营房村变电站,10kV营507汉西线,598.114
国网武汉供电公司,国网武汉市武昌供电中心,蔡家嘴变电站,10kV嘴710嘴天线,598.987
国网武汉供电公司,国网武汉市武昌供电中心,彭刘杨变电站,10kV彭79临江线,596.83
国网武汉供电公司,国网武汉市汉阳供电中心,英武洲变电站,10kV英69四新线,597.462
国网武汉供电公司,国网武汉市武昌供电中心,付家坡变电站,10kV付68付菜一回线,602.075
国网武汉供电公司,国网武汉市汉口供电中心,江汉路变电站,10kV江63江寿线,606.721
国网武汉供电公司,国网武汉市武昌供电中心,晒湖变电站,10kV晒71丁字桥线,606.478
国网武汉供电公司,国网武汉市东湖新技术开发区供电公司,流芳园变电站,10kV流407流联线,608.46
国网武汉供电公司,国网武汉市东湖新技术开发区供电公司,虹景变电站,10kV景68关山线,610.226
国网武汉供电公司,国网武汉市武昌供电中心,汪家墩变电站,10kV汪504千禧线,608.644
国网武汉供电公司,国网武汉市武昌供电中心,紫阳湖变电站,10kV紫55首开线,608.682
国网武汉供电公司,国网武汉市汉口供电中心,唐家墩变电站,10kV唐91唐科线,614.56
国网武汉供电公司,国网武汉市江岸供电中心,百步亭变电站,10kV步61三金潭线,613.694
国网武汉供电公司,国网江夏区供电公司,岳府湾变电站,10kV岳76城关线,613.768
国网武汉供电公司,国网武汉市经开区（汉南区）供电公司,枫树变电站,10kV枫36枫加线,615.957
国网武汉供电公司,国网武汉市武昌供电中心,积玉桥变电站,10kV积61司门口线,623.44
国网武汉供电公司,国网江夏区供电公司,巴登城变电站,10kV登76登滨二回,618.745
国网武汉供电公司,国网蔡甸区供电公司,霞光村变电站,10kV霞光503丛林线,625.644
国网武汉供电公司,国网蔡甸区供电公司,奓山变电站,10kV奓603福高线,625.794
国网武汉供电公司,国网武汉市汉口供电中心,古田变电站,10kV古70柴区线,627.549
国网武汉供电公司,国网江夏区供电公司,巴登城变电站,10kV登78登纺二回,632.995
国网武汉供电公司,国网武汉市汉口供电中心,利济路变电站,10kV利58吉庆线,637.307
国网武汉供电公司,国网东西湖区供电公司,荷包湖变电站,10kV荷91东山线,632.987
国网武汉供电公司,国网武汉市汉口供电中心,宗关变电站,10kV宗504王家墩线,638.68
国网武汉供电公司,国网武汉市洪山供电中心,北港变电站,10kV港83港业线,648.609
国网武汉供电公司,国网武汉市武昌供电中心,秦园路变电站,10kV秦90徐家棚线,647.839
国网武汉供电公司,国网江夏区供电公司,红旗村变电站,10kV旗514大桥线,656.368
国网武汉供电公司,国网武汉市江岸供电中心,京汉变电站,10kV京汉513京袁线,653.781
国网武汉供电公司,国网武汉市东湖新技术开发区供电公司,庙山变电站,10kV庙56庙万科线,661.35
国网武汉供电公司,国网武汉市青山供电中心,桂家湾变电站,10kV桂64桂景线,667.12
国网武汉供电公司,国网蔡甸区供电公司,知音变电站,10kV知604莲花线,660.975
国网武汉供电公司,国网武汉市武昌供电中心,汉街变电站,10kV汉607汉复线,669.109
国网武汉供电公司,国网蔡甸区供电公司,何湾变电站,10kV何69星光二回线,662.795
国网武汉供电公司,国网东西湖区供电公司,荷包湖变电站,10kV荷75新镇一回线,668.399
国网武汉供电公司,国网黄陂区供电公司,天河变电站,10kV天56刘集线,663.422
国网武汉供电公司,国网黄陂区供电公司,横店变电站,10kV横65油站一回,674.718
国网武汉供电公司,国网蔡甸区供电公司,知音变电站,10kV知516职高线,671.628
国网武汉供电公司,国网武汉市汉阳供电中心,博览变电站,10kV博69博洲际线,679.01
国网武汉供电公司,国网武汉市汉口供电中心,荣华变电站,10kV荣514汉华二回线,684.091
国网武汉供电公司,国网东西湖区供电公司,径河变电站,10kV径706清湾线,683.445
国网武汉供电公司,国网武汉市江岸供电中心,黄浦路变电站,10kV浦613五冷线,681.082
国网武汉供电公司,国网武汉市洪山供电中心,曹家铺变电站,10kV曹819曹霞线,688.759
国网武汉供电公司,国网武汉市汉口供电中心,营房村变电站,10kV营510营丰线,693.354
国网武汉供电公司,国网武汉市经开区（汉南区）供电公司,马影河变电站,10kV影505正街一回,694.52
国网武汉供电公司,国网武汉市经开区（汉南区）供电公司,汤山变电站,10kV汤79汤达线,703.782
国网武汉供电公司,国网黄陂区供电公司,城关变电站,10kV城509城定线,708.556
国网武汉供电公司,国网江夏区供电公司,巴登城变电站,10kV登65登保一回线,707.671
国网武汉供电公司,国网武汉市汉口供电中心,唐家墩变电站,10kV唐79唐丰线,709.07
国网武汉供电公司,国网武汉市经开区（汉南区）供电公司,廖家堡变电站,10kV廖77兴业一回,714.803
国网武汉供电公司,国网武汉市汉口供电中心,江发路变电站,10kV发35发苗线,725.394
国网武汉供电公司,国网武汉市汉阳供电中心,芳草路变电站,10kV芳607芳凯线,722.028
国网武汉供电公司,国网武汉市经开区（汉南区）供电公司,沌口变电站,10kV沌58沌和线,725.029
